step,loss,bpc,acc,gnorm,lr,elapsed_s
172,4.557134,6.5746,0.158183,0.1179,0.001000,469.4
173,4.561103,6.5803,0.154070,0.1157,0.001000,472.1
174,4.540934,6.5512,0.154438,0.1110,0.001000,474.8
175,4.550825,6.5655,0.153714,0.1108,0.001000,477.6
176,4.548170,6.5616,0.155955,0.1104,0.001000,480.4
177,4.548497,6.5621,0.152979,0.1175,0.001000,483.2
178,4.555391,6.5721,0.155217,0.1047,0.001000,485.9
179,4.543169,6.5544,0.153741,0.1029,0.001000,488.8
180,4.539204,6.5487,0.154463,0.1161,0.001000,491.6
181,4.549324,6.5633,0.152927,0.1037,0.001000,494.3
182,4.544170,6.5559,0.152528,0.1075,0.001000,497.1
183,4.552674,6.5681,0.154792,0.0991,0.001000,499.7
184,4.526684,6.5306,0.156662,0.1143,0.001000,502.5
185,4.548028,6.5614,0.153741,0.1078,0.001000,505.5
186,4.549363,6.5634,0.151888,0.1045,0.001000,508.2
187,4.547822,6.5611,0.154267,0.0959,0.001000,510.9
188,4.551026,6.5658,0.150626,0.1040,0.001000,513.7
189,4.535128,6.5428,0.154305,0.1016,0.001000,516.3
190,4.539174,6.5487,0.152018,0.1085,0.001000,519.0
191,4.537027,6.5456,0.152070,0.0970,0.001000,521.8
192,4.529436,6.5346,0.160260,0.1016,0.001000,524.5
193,4.538252,6.5473,0.152571,0.1031,0.001000,527.3
194,4.539940,6.5498,0.154744,0.0988,0.001000,530.0
195,4.537670,6.5465,0.154975,0.1008,0.001000,532.7
196,4.527413,6.5317,0.153070,0.0999,0.001000,535.4
197,4.537780,6.5467,0.158021,0.0962,0.001000,538.3
198,4.539526,6.5492,0.156138,0.0986,0.001000,541.0
199,4.539501,6.5491,0.156682,0.0996,0.001000,543.8
200,4.527589,6.5320,0.155418,0.1166,0.001000,546.5
201,4.532426,6.5389,0.154634,0.1301,0.001000,549.3
202,4.529116,6.5342,0.152215,0.1156,0.001000,552.0
203,4.531031,6.5369,0.156843,0.1151,0.001000,554.8
204,4.530857,6.5367,0.153084,0.1088,0.001000,557.6
205,4.528416,6.5331,0.149803,0.1323,0.001000,560.4
206,4.532595,6.5392,0.149940,0.1611,0.001000,563.2
207,4.526653,6.5306,0.152771,0.1468,0.001000,565.9
208,4.531542,6.5377,0.155757,0.1077,0.001000,568.6
209,4.553389,6.5692,0.151526,0.1156,0.001000,571.4
210,4.537708,6.5466,0.148452,0.1223,0.001000,574.1
211,4.530488,6.5361,0.155977,0.1327,0.001000,576.9
212,4.542490,6.5534,0.147084,0.1312,0.001000,579.8
213,4.545133,6.5573,0.151034,0.1271,0.001000,582.7
214,4.542393,6.5533,0.156501,0.1254,0.001000,585.4
215,4.538918,6.5483,0.154963,0.1176,0.001000,588.4
216,4.540430,6.5505,0.151500,0.1019,0.001000,591.4
