step,loss,bpc,acc,gnorm,lr,elapsed_s
172,4.554230,6.5704,0.156470,0.1194,0.001000,571.0
173,4.558638,6.5767,0.153556,0.1155,0.001000,574.6
174,4.535804,6.5438,0.155977,0.1132,0.001000,578.2
175,4.546892,6.5598,0.153714,0.1116,0.001000,581.5
176,4.542295,6.5532,0.155441,0.1082,0.001000,585.0
177,4.548843,6.5626,0.152467,0.1173,0.001000,588.3
178,4.552437,6.5678,0.155902,0.1058,0.001000,591.7
179,4.539999,6.5499,0.155453,0.1018,0.001000,595.0
180,4.536069,6.5442,0.156853,0.1151,0.001000,598.9
181,4.544619,6.5565,0.152415,0.1048,0.001000,602.4
182,4.541241,6.5516,0.152185,0.1071,0.001000,605.7
183,4.547905,6.5613,0.152400,0.1009,0.001000,609.0
184,4.524461,6.5274,0.155122,0.1077,0.001000,612.3
185,4.540996,6.5513,0.155453,0.1063,0.001000,615.7
186,4.542593,6.5536,0.155134,0.1028,0.001000,619.0
187,4.540421,6.5505,0.152899,0.0968,0.001000,622.4
188,4.544430,6.5562,0.152685,0.1000,0.001000,625.7
189,4.527604,6.5320,0.155669,0.0936,0.001000,629.1
190,4.535482,6.5433,0.155267,0.1115,0.001000,632.6
191,4.535656,6.5436,0.154465,0.0964,0.001000,636.0
192,4.527206,6.5314,0.159747,0.0981,0.001000,639.5
193,4.532797,6.5395,0.154963,0.0999,0.001000,643.1
194,4.536056,6.5442,0.153886,0.0951,0.001000,646.6
195,4.533517,6.5405,0.155829,0.1003,0.001000,649.7
196,4.522603,6.5248,0.154609,0.0923,0.001000,653.0
197,4.532969,6.5397,0.157165,0.0965,0.001000,656.3
198,4.537680,6.5465,0.156822,0.0986,0.001000,659.5
199,4.535999,6.5441,0.155829,0.1076,0.001000,663.0
200,4.521839,6.5237,0.156792,0.1180,0.001000,666.4
201,4.524876,6.5280,0.151562,0.1343,0.001000,669.6
202,4.523535,6.5261,0.152557,0.1114,0.001000,673.1
203,4.525609,6.5291,0.155476,0.1026,0.001000,676.6
204,4.527385,6.5317,0.155818,0.1003,0.001000,680.0
205,4.517890,6.5180,0.152542,0.1396,0.001000,683.4
206,4.528046,6.5326,0.151484,0.1676,0.001000,686.9
