step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
370,2.600234,2.499979,0.310913,0.315613,0.000795,500.2,47360,0.9851,10947.2129,10.6587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.6213,46.7055,0.00,0.00
380,2.566059,2.498862,0.320068,0.323265,0.000781,512.9,48640,0.9901,10926.6611,10.6170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9683,46.9252,0.00,0.00
390,2.513406,2.450058,0.328369,0.331322,0.000766,527.4,49920,0.9911,11017.1982,10.6742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9075,46.4447,0.00,0.00
400,2.536141,2.469550,0.316650,0.319734,0.000752,539.2,51200,0.9904,11164.8721,10.7446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0545,46.1845,0.00,0.00
410,2.611109,2.493859,0.323730,0.329318,0.000736,555.8,52480,0.9830,11611.5820,10.9652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.5350,45.4551,0.00,0.00
420,2.542764,2.440590,0.327271,0.331930,0.000721,569.4,53760,0.9860,11662.3164,11.0806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.3480,45.7578,0.00,0.00
430,2.492022,2.415155,0.336304,0.340081,0.000705,582.8,55040,0.9889,11688.3037,11.1407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9986,45.8243,0.00,0.00
440,2.510645,2.446840,0.327148,0.330090,0.000689,595.3,56320,0.9911,11664.7949,11.1435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0172,46.1693,0.00,0.00
450,2.492774,2.427306,0.332886,0.335879,0.000673,609.0,57600,0.9911,11652.7988,11.1519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9288,46.0837,0.00,0.00
460,2.498364,2.390193,0.343506,0.348742,0.000656,622.5,58880,0.9850,11570.2822,11.0880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7441,46.2767,0.00,0.00
