step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
310,2.627438,2.557421,0.307251,0.310817,0.000873,399.2,39680,0.9885,9725.9463,9.4591,0.4640,0.3317,0.6709,0.4910,0.3746,0.5952,19.5928,19.5928,94.2799,94.1482,43.8149,46.2348,44.8611,46.8668,44.9169,47.0034,63.00,575.00
320,2.650478,2.549181,0.300415,0.305411,0.000861,410.8,40960,0.9836,9709.1787,9.4347,0.4596,0.3084,0.6707,0.4967,0.3755,0.6170,19.5732,19.5732,92.8359,96.1588,42.8119,47.7665,44.8261,46.6694,44.9412,46.8925,63.00,575.00
330,2.621433,2.513089,0.311890,0.317312,0.000849,422.9,42240,0.9829,9816.2754,9.4952,0.4553,0.2939,0.6734,0.4946,0.3651,0.5834,20.0852,20.0852,90.5911,100.6715,41.3513,49.8437,45.1939,46.7653,44.8846,46.2060,63.00,575.00
340,2.570408,2.499142,0.313721,0.317206,0.000836,434.3,43520,0.9890,9612.5801,9.3696,0.4838,0.3286,0.6785,0.4754,0.3595,0.6119,19.1023,19.1023,97.3979,93.9964,47.3586,44.7295,43.9769,48.0239,44.2493,46.9777,63.00,575.00
350,2.600815,2.530667,0.309082,0.312477,0.000823,445.7,44800,0.9891,9624.9893,9.3730,0.4519,0.3206,0.6735,0.5136,0.3691,0.6192,20.0268,20.0268,97.4204,94.6213,44.1563,48.5280,44.9963,46.0126,44.6267,46.9249,63.00,575.00
360,2.549034,2.486657,0.319824,0.322978,0.000809,458.0,46080,0.9902,9686.7344,9.4142,0.4581,0.3171,0.6717,0.5008,0.3603,0.5897,19.9756,19.9756,94.6467,97.9087,43.4375,49.0249,44.6741,46.2551,44.7054,46.4961,63.00,575.00
370,2.569275,2.515111,0.310181,0.312815,0.000795,471.1,47360,0.9916,9667.3828,9.3925,0.4598,0.3170,0.6778,0.4986,0.3544,0.6104,19.8494,19.8494,94.2126,96.8676,43.4384,48.2644,44.7421,45.6453,44.7993,46.5604,63.00,575.00
380,2.540187,2.453376,0.327271,0.331561,0.000781,484.1,48640,0.9871,9807.3076,9.4894,0.4731,0.2631,0.6799,0.4781,0.3442,0.6010,19.4835,19.4835,92.5341,103.1513,43.9075,49.3477,44.6036,46.5467,44.7165,46.2254,63.00,575.00
390,2.498820,2.451681,0.323120,0.325504,0.000766,496.3,49920,0.9927,9822.5791,9.4652,0.4841,0.3150,0.6853,0.4868,0.3478,0.6001,19.0509,19.0509,90.2318,105.0549,43.7939,51.2079,44.9769,45.6523,44.5821,45.9642,63.00,575.00
400,2.497914,2.419864,0.332397,0.336505,0.000752,508.0,51200,0.9878,9790.1533,9.4507,0.4779,0.2984,0.6911,0.4799,0.3393,0.5965,19.8394,19.8394,91.8037,103.1490,43.9868,49.5752,44.6076,46.2053,44.5744,45.8553,63.00,575.00
410,2.535234,2.436930,0.324951,0.329905,0.000736,523.0,52480,0.9850,9675.7090,9.3813,0.4617,0.3147,0.6853,0.5041,0.3486,0.6486,20.0579,20.0579,94.1550,99.8486,43.5700,50.3962,44.2448,46.0599,44.8203,45.4975,63.00,575.00
420,2.481863,2.419152,0.330322,0.333457,0.000721,533.8,53760,0.9906,9648.9482,9.3560,0.4609,0.3113,0.6924,0.5066,0.3531,0.6320,19.8954,19.8954,94.6294,99.7134,43.7717,50.5011,44.6649,45.3590,44.6425,45.7681,63.00,575.00
430,2.526227,2.427093,0.328247,0.333086,0.000705,546.0,55040,0.9855,9593.4639,9.3095,0.4667,0.3096,0.6868,0.5067,0.3521,0.6243,19.7809,19.7809,94.0841,101.7643,44.1136,51.5646,43.7867,46.0958,44.6358,44.9362,63.00,575.00
440,2.445598,2.394091,0.331543,0.334112,0.000689,558.1,56320,0.9923,9543.3779,9.2834,0.4399,0.3045,0.6806,0.5103,0.3446,0.6237,20.6089,20.6089,97.7431,97.3719,43.0677,49.6617,44.5556,45.6177,44.6810,45.6772,63.00,575.00
450,2.445866,2.388031,0.332153,0.334975,0.000673,570.2,57600,0.9916,9542.7764,9.2425,0.4817,0.3152,0.6891,0.4991,0.3463,0.6126,19.5359,19.5359,93.3774,102.3090,45.2109,51.1466,44.2541,45.6414,44.1997,45.0631,63.00,575.00
460,2.486190,2.413672,0.337158,0.340903,0.000656,581.3,58880,0.9890,9483.3154,9.2038,0.4553,0.3016,0.6839,0.5045,0.3434,0.6153,19.9863,19.9863,95.5722,100.8534,43.6039,50.9443,44.4707,45.5173,44.5302,45.2014,63.00,575.00
470,2.487979,2.377032,0.340820,0.346531,0.000639,593.6,60160,0.9835,9463.0684,9.1863,0.4625,0.3109,0.6849,0.5021,0.3405,0.6377,19.9920,19.9920,95.1964,100.4938,44.1230,50.4509,43.9584,45.4781,44.6449,45.0778,63.00,575.00
480,2.435415,2.360929,0.333862,0.337613,0.000623,604.6,61440,0.9889,9424.9795,9.1571,0.4832,0.3125,0.6922,0.4853,0.3389,0.6368,19.3579,19.3579,97.0015,99.1176,47.0129,48.1771,44.2317,45.3332,44.0570,45.9026,63.00,575.00
490,2.462020,2.347793,0.351074,0.356868,0.000606,616.9,62720,0.9838,9389.0381,9.1196,0.4624,0.3064,0.6973,0.5051,0.3440,0.6453,19.9504,19.9504,96.1733,99.2897,44.5513,50.1922,44.3270,45.1660,44.4021,45.5179,63.00,575.00
500,2.468018,2.378389,0.340210,0.344712,0.000589,628.6,64000,0.9869,9340.1113,9.0835,0.4699,0.3085,0.6904,0.5032,0.3449,0.6428,19.8147,19.8147,97.3210,98.6832,45.9214,49.6040,43.9175,45.6801,43.9377,45.0852,63.00,575.00
510,2.380206,2.312239,0.357056,0.360488,0.000571,643.7,65280,0.9905,9290.1523,9.0393,0.4459,0.3013,0.6857,0.5226,0.3437,0.6412,20.6374,20.6374,97.8271,97.4243,43.7255,50.7923,44.2994,45.2184,44.4873,45.1165,63.00,575.00
520,2.388503,2.312092,0.358765,0.362705,0.000554,656.5,66560,0.9891,9256.8438,9.0165,0.4535,0.2983,0.6891,0.5276,0.3495,0.6386,20.3056,20.3056,98.0645,97.5825,44.5220,51.4310,43.8812,45.3476,44.2947,44.8595,63.00,575.00
530,2.438160,2.346192,0.352539,0.357116,0.000537,668.2,67840,0.9872,9055.9531,8.8442,0.4364,0.2864,0.6698,0.5449,0.3682,0.6748,20.2618,20.2618,104.6051,91.3430,45.6929,49.8112,43.7511,45.8094,44.2825,44.6867,63.00,575.00
540,2.425936,2.344415,0.349976,0.354082,0.000519,680.4,69120,0.9884,9165.1104,8.9494,0.4471,0.2927,0.6738,0.5389,0.3666,0.6520,20.2597,20.2597,100.3869,97.1238,45.0732,52.3515,43.5445,45.4645,44.0649,44.5575,63.00,575.00
