stage	task	act	rho	H	beta	T	dt	init_scale	seed	conv_free	conv_nudge	accuracy	mse	mean_settle	osc_ratio	spectral_w1	spectral_w2	output_mag	seg_crossings
2	XOR	c19_r1	1	20	0.10	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.720712	9.0	0.0000	0.2422	0.1073	0.1861	0.0
2	XOR	c19_r1	1	20	0.10	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.720711	9.0	0.0000	0.2971	0.1314	0.1860	0.0
2	XOR	c19_r1	1	20	0.50	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.673512	9.0	0.0000	0.2995	0.1942	0.1508	0.0
2	XOR	c19_r1	1	20	0.50	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.673014	9.0	0.0000	0.2522	0.1281	0.1504	0.0
2	XOR	c19_r1	1	20	0.50	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.673529	9.0	0.0000	0.3125	0.1608	0.1507	0.0
2	XOR	c19_r1	1	20	0.50	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.673512	9.0	0.0000	0.2995	0.1942	0.1508	0.0
2	XOR	c19_r1	1	20	0.50	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.673014	9.0	0.0000	0.2522	0.1281	0.1504	0.0
2	XOR	c19_r1	1	20	0.50	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.673529	9.0	0.0000	0.3124	0.1608	0.1507	0.0
2	XOR	c19_r1	1	20	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.673512	9.0	0.0000	0.2995	0.1942	0.1508	0.0
2	XOR	c19_r1	1	20	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.673014	9.0	0.0000	0.2522	0.1281	0.1504	0.0
2	XOR	c19_r1	1	20	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.673529	9.0	0.0000	0.3124	0.1608	0.1507	0.0
2	XOR	c19_r1	1	20	0.50	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.673512	9.0	0.0000	0.2995	0.1942	0.1508	0.0
2	XOR	c19_r1	1	20	0.50	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.673014	9.0	0.0000	0.2522	0.1281	0.1504	0.0
2	XOR	c19_r1	1	20	0.50	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.673529	9.0	0.0000	0.3124	0.1608	0.1507	0.0
2	XOR	c19_r1	1	20	1.00	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.473335	9.0	0.0000	0.5494	0.4801	0.0744	0.0
2	XOR	c19_r1	1	20	1.00	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.544138	9.2	0.0000	0.2810	0.1549	0.0423	0.0
2	XOR	c19_r1	1	20	1.00	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.477881	9.0	0.0000	0.5968	0.4870	0.0812	0.0
2	XOR	c19_r1	1	20	1.00	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.473176	9.0	0.0000	0.5479	0.4783	0.0742	0.0
2	XOR	c19_r1	1	20	1.00	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.544678	9.2	0.0000	0.2795	0.1530	0.0428	0.0
2	XOR	c19_r1	1	20	1.00	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.477918	9.0	0.0000	0.5975	0.4872	0.0813	0.0
2	XOR	c19_r1	1	20	1.00	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.473174	9.0	0.0000	0.5479	0.4783	0.0742	0.0
2	XOR	c19_r1	1	20	1.00	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.544671	9.2	0.0000	0.2795	0.1532	0.0428	0.0
2	XOR	c19_r1	1	20	1.00	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.477954	9.0	0.0000	0.5979	0.4875	0.0814	0.0
2	XOR	c19_r1	1	20	1.00	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.473182	9.0	0.0000	0.5480	0.4784	0.0742	0.0
2	XOR	c19_r1	1	20	1.00	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.398387	9.0	0.0000	0.2867	0.0783	0.1154	0.0
2	XOR	c19_r1	1	20	1.00	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.477960	9.0	0.0000	0.5979	0.4876	0.0814	0.0
2	XOR	c19_r1	1	50	0.10	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.720677	9.0	0.0000	0.4260	0.1510	0.1859	0.0
2	XOR	c19_r1	1	50	0.10	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.720696	9.0	0.0000	0.4073	0.1488	0.1860	0.0
2	XOR	c19_r1	1	50	0.10	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.720676	9.0	0.0000	0.4080	0.1480	0.1859	0.0
2	XOR	c19_r1	1	50	0.10	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.720677	9.0	0.0000	0.4261	0.1510	0.1859	0.0
2	XOR	c19_r1	1	50	0.10	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.720696	9.0	0.0000	0.4074	0.1488	0.1860	0.0
2	XOR	c19_r1	1	50	0.10	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.720676	9.0	0.0000	0.4081	0.1480	0.1859	0.0
2	XOR	c19_r1	1	50	0.10	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.720677	9.0	0.0000	0.4261	0.1510	0.1859	0.0
2	XOR	c19_r1	1	50	0.10	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.720696	9.0	0.0000	0.4074	0.1488	0.1860	0.0
2	XOR	c19_r1	1	50	0.10	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.720676	9.0	0.0000	0.4081	0.1480	0.1859	0.0
2	XOR	c19_r1	1	50	0.10	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.720677	9.0	0.0000	0.4261	0.1510	0.1859	0.0
2	XOR	c19_r1	1	50	0.10	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.720696	9.0	0.0000	0.4074	0.1488	0.1860	0.0
2	XOR	c19_r1	1	50	0.10	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.720676	9.0	0.0000	0.4081	0.1480	0.1859	0.0
2	XOR	c19_r1	1	50	0.50	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.673480	9.2	0.0000	0.4401	0.1872	0.1505	0.0
2	XOR	c19_r1	1	50	0.50	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.673446	9.2	0.0000	0.4194	0.1822	0.1506	0.0
2	XOR	c19_r1	1	50	0.50	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.673192	9.2	0.0000	0.4224	0.1792	0.1502	0.0
2	XOR	c19_r1	1	50	0.50	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.673480	9.2	0.0000	0.4401	0.1872	0.1505	0.0
2	XOR	c19_r1	1	50	0.50	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.673445	9.2	0.0000	0.4194	0.1822	0.1506	0.0
2	XOR	c19_r1	1	50	0.50	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.673193	9.2	0.0000	0.4224	0.1792	0.1502	0.0
2	XOR	c19_r1	1	50	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.673480	9.2	0.0000	0.4401	0.1872	0.1505	0.0
2	XOR	c19_r1	1	50	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.673445	9.2	0.0000	0.4194	0.1822	0.1506	0.0
2	XOR	c19_r1	1	50	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.673193	9.2	0.0000	0.4224	0.1792	0.1502	0.0
2	XOR	c19_r1	1	50	0.50	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.673480	9.2	0.0000	0.4401	0.1872	0.1505	0.0
2	XOR	c19_r1	1	50	0.50	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.673445	9.2	0.0000	0.4194	0.1822	0.1506	0.0
2	XOR	c19_r1	1	50	0.50	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.673193	9.2	0.0000	0.4224	0.1792	0.1502	0.0
2	XOR	c19_r1	1	50	1.00	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.490677	8.8	0.0000	0.7560	0.5849	0.0966	0.0
2	XOR	c19_r1	1	50	1.00	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.491833	8.8	0.0000	0.7459	0.5686	0.0964	0.0
2	XOR	c19_r1	1	50	1.00	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.493725	8.8	0.0000	0.7667	0.5791	0.0980	0.0
2	XOR	c19_r1	1	50	1.00	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.490676	8.8	0.0000	0.7562	0.5849	0.0966	0.0
2	XOR	c19_r1	1	50	1.00	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.491700	8.8	0.0000	0.7448	0.5675	0.0963	0.0
2	XOR	c19_r1	1	50	1.00	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.493740	8.8	0.0000	0.7670	0.5792	0.0981	0.0
2	XOR	c19_r1	1	50	1.00	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.490613	8.8	0.0000	0.7558	0.5844	0.0966	0.0
2	XOR	c19_r1	1	50	1.00	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.395514	9.0	0.0000	0.4622	0.1150	0.1206	0.0
2	XOR	c19_r1	1	50	1.00	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.397143	9.0	0.0000	0.4712	0.1194	0.1185	0.0
2	XOR	c19_r1	1	50	1.00	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.490582	8.8	0.0000	0.7555	0.5842	0.0965	0.0
2	XOR	c19_r1	1	50	1.00	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.395514	9.0	0.0000	0.4622	0.1149	0.1206	0.0
2	XOR	c19_r1	1	50	1.00	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.397142	9.0	0.0000	0.4712	0.1194	0.1185	0.0
2	XOR	c19_r4	4	10	0.10	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.560729	7.2	0.0000	0.2079	0.0866	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.560662	7.0	0.0000	0.1965	0.0438	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.560702	7.0	0.0000	0.1873	0.0851	0.0574	0.0
