stage	task	act	rho	H	beta	T	dt	init_scale	seed	conv_free	conv_nudge	accuracy	mse	mean_settle	osc_ratio	spectral_w1	spectral_w2	output_mag	seg_crossings
2	XOR	c19_r1	1	10	1.00	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.499666	5.0	0.0000	0.1973	0.0467	0.0014	0.0
2	XOR	c19_r1	1	10	1.00	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.499577	4.5	0.0000	0.1863	0.0756	0.0010	0.0
2	XOR	c19_r1	1	20	0.10	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.287693	8.0	0.0000	0.2615	0.0940	0.3056	0.0
2	XOR	c19_r1	1	20	0.10	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.287229	9.0	0.0000	0.2646	0.1594	0.3058	0.0
2	XOR	c19_r1	1	20	0.10	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.287235	9.0	0.0000	0.3151	0.1661	0.3052	0.0
2	XOR	c19_r1	1	20	0.10	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.287693	8.0	0.0000	0.2615	0.0939	0.3056	0.0
2	XOR	c19_r1	1	20	0.10	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.287230	9.0	0.0000	0.2644	0.1593	0.3058	0.0
2	XOR	c19_r1	1	20	0.10	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.287237	9.0	0.0000	0.3149	0.1660	0.3052	0.0
2	XOR	c19_r1	1	20	0.10	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.287693	8.0	0.0000	0.2615	0.0939	0.3056	0.0
2	XOR	c19_r1	1	20	0.10	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.287230	9.0	0.0000	0.2644	0.1593	0.3058	0.0
2	XOR	c19_r1	1	20	0.10	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.287237	9.0	0.0000	0.3149	0.1660	0.3052	0.0
2	XOR	c19_r1	1	20	0.10	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.287693	8.0	0.0000	0.2615	0.0939	0.3056	0.0
2	XOR	c19_r1	1	20	0.10	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.287230	9.0	0.0000	0.2644	0.1593	0.3058	0.0
2	XOR	c19_r1	1	20	0.10	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.287237	9.0	0.0000	0.3149	0.1660	0.3052	0.0
2	XOR	c19_r1	1	20	0.50	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.321917	8.0	0.0000	0.2585	0.0980	0.2316	0.0
2	XOR	c19_r1	1	20	0.50	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.320111	8.0	0.0000	0.2435	0.1307	0.2345	0.0
2	XOR	c19_r1	1	20	0.50	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.321568	8.0	0.0000	0.2921	0.1198	0.2320	0.0
2	XOR	c19_r1	1	20	0.50	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.321918	8.0	0.0000	0.2585	0.0980	0.2316	0.0
2	XOR	c19_r1	1	20	0.50	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.320112	8.0	0.0000	0.2435	0.1307	0.2345	0.0
2	XOR	c19_r1	1	20	0.50	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.321569	8.0	0.0000	0.2921	0.1198	0.2320	0.0
2	XOR	c19_r1	1	20	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.321918	8.0	0.0000	0.2585	0.0980	0.2316	0.0
2	XOR	c19_r1	1	20	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.320112	8.0	0.0000	0.2435	0.1307	0.2345	0.0
2	XOR	c19_r1	1	20	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.321569	8.0	0.0000	0.2921	0.1198	0.2320	0.0
2	XOR	c19_r1	1	20	0.50	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.321918	8.0	0.0000	0.2585	0.0980	0.2316	0.0
2	XOR	c19_r1	1	20	0.50	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.320112	8.0	0.0000	0.2435	0.1307	0.2345	0.0
2	XOR	c19_r1	1	20	0.50	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.321569	8.0	0.0000	0.2921	0.1198	0.2320	0.0
2	XOR	c19_r1	1	20	1.00	20	0.50	0.1	42	1.0000	0.5000	0.5000	0.478579	5.8	0.0000	0.2565	0.0765	0.0221	0.0
2	XOR	c19_r1	1	20	1.00	20	0.50	0.1	123	1.0000	0.5000	0.5000	0.477947	5.8	0.0000	0.2391	0.0698	0.0225	0.0
2	XOR	c19_r1	1	20	1.00	20	0.50	0.1	7	1.0000	0.5000	0.5000	0.478203	5.8	0.0000	0.2859	0.0688	0.0223	0.0
2	XOR	c19_r1	1	20	1.00	50	0.50	0.1	42	1.0000	0.5000	0.5000	0.493563	5.5	0.0000	0.2598	0.0764	0.0067	0.0
2	XOR	c19_r1	1	20	1.00	50	0.50	0.1	123	1.0000	0.5000	0.5000	0.493418	5.2	0.0000	0.2376	0.0681	0.0065	0.0
2	XOR	c19_r1	1	20	1.00	50	0.50	0.1	7	1.0000	0.5000	0.5000	0.493457	5.2	0.0000	0.2852	0.0681	0.0066	0.0
2	XOR	c19_r1	1	20	1.00	100	0.50	0.1	42	1.0000	0.5000	0.5000	0.497592	5.5	0.0000	0.2609	0.0767	0.0038	0.0
2	XOR	c19_r1	1	20	1.00	100	0.50	0.1	123	1.0000	0.5000	0.5000	0.497715	4.8	0.0000	0.2373	0.0679	0.0022	0.0
2	XOR	c19_r1	1	20	1.00	100	0.50	0.1	7	1.0000	0.5000	0.5000	0.497762	4.8	0.0000	0.2851	0.0683	0.0023	0.0
2	XOR	c19_r1	1	20	1.00	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.498343	5.2	0.0000	0.2613	0.0774	0.0035	0.0
2	XOR	c19_r1	1	20	1.00	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.499600	4.8	0.0000	0.2371	0.0685	0.0010	0.0
2	XOR	c19_r1	1	20	1.00	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.499731	4.8	0.0000	0.2851	0.0690	0.0003	0.0
2	XOR	c19_r1	1	50	0.10	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.283878	9.8	0.0000	0.4917	0.3039	0.3010	0.0
2	XOR	c19_r1	1	50	0.10	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.279744	10.0	0.0000	0.5330	0.3893	0.2955	0.0
2	XOR	c19_r1	1	50	0.10	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.281131	10.0	0.0000	0.5233	0.3645	0.2976	0.0
2	XOR	c19_r1	1	50	0.10	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.283885	9.8	0.0000	0.4915	0.3037	0.3010	0.0
2	XOR	c19_r1	1	50	0.10	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.279760	10.0	0.0000	0.5327	0.3891	0.2956	0.0
2	XOR	c19_r1	1	50	0.10	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.281143	10.0	0.0000	0.5231	0.3644	0.2976	0.0
2	XOR	c19_r1	1	50	0.10	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.283885	9.8	0.0000	0.4915	0.3037	0.3010	0.0
2	XOR	c19_r1	1	50	0.10	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.279760	10.0	0.0000	0.5327	0.3891	0.2956	0.0
2	XOR	c19_r1	1	50	0.10	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.281143	10.0	0.0000	0.5231	0.3644	0.2976	0.0
2	XOR	c19_r1	1	50	0.10	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.283885	9.8	0.0000	0.4915	0.3037	0.3010	0.0
2	XOR	c19_r1	1	50	0.10	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.279760	10.0	0.0000	0.5327	0.3891	0.2956	0.0
2	XOR	c19_r1	1	50	0.10	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.281143	10.0	0.0000	0.5231	0.3644	0.2976	0.0
2	XOR	c19_r1	1	50	0.50	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.321205	8.0	0.0000	0.4296	0.1574	0.2309	0.0
2	XOR	c19_r1	1	50	0.50	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.320923	8.2	0.0000	0.4139	0.1754	0.2312	0.0
2	XOR	c19_r1	1	50	0.50	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.320575	8.2	0.0000	0.4179	0.1758	0.2318	0.0
