step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
310,2.718226,2.640190,0.296997,0.301338,0.000873,418.0,39680,0.9856,7069.9229,6.9005,0.5053,0.4478,0.6020,0.4384,0.3761,0.5521,18.6383,18.6383,65.5437,60.0414,23.0402,19.9866,50.6063,52.9751,50.8155,53.1512,63.00,575.00
320,2.683414,2.600883,0.291138,0.295466,0.000861,430.9,40960,0.9854,7381.4507,7.0029,0.5148,0.4581,0.6112,0.4472,0.3771,0.5698,18.4232,18.4232,48.4939,78.7911,23.4814,20.3968,50.6615,52.9622,50.5862,52.8541,63.00,575.00
330,2.643632,2.584344,0.300537,0.303876,0.000849,444.4,42240,0.9890,7399.4141,7.1557,0.4972,0.4441,0.5953,0.4525,0.3845,0.5772,18.9443,18.9443,55.2857,74.0020,22.6644,20.6431,50.9619,52.7455,50.9573,52.6956,63.00,575.00
340,2.626853,2.588709,0.289551,0.291472,0.000836,458.7,43520,0.9934,7619.6870,7.3552,0.4952,0.4357,0.5915,0.4669,0.3931,0.5909,18.5606,18.5606,56.0541,76.7050,22.5812,21.3097,51.0672,52.5129,51.2342,52.7303,63.00,575.00
350,2.591066,2.528588,0.308105,0.311528,0.000823,472.7,44800,0.9890,7633.1289,7.4483,0.4945,0.4369,0.5994,0.4531,0.3797,0.5865,18.8090,18.8090,65.3995,70.7638,22.5629,20.6861,51.1628,52.8649,50.9427,52.5624,63.00,575.00
360,2.619831,2.555702,0.309448,0.313272,0.000809,486.9,46080,0.9878,7676.7969,7.4951,0.5001,0.4433,0.6039,0.4307,0.3741,0.5740,18.9097,18.9097,69.5268,68.9960,22.8359,19.6776,50.8894,52.8384,50.8817,52.8700,63.00,575.00
370,2.631879,2.540426,0.301880,0.306938,0.000795,501.0,47360,0.9835,7690.5317,7.5079,0.4998,0.4379,0.6090,0.4445,0.3662,0.5913,18.8289,18.8289,70.7390,69.4545,22.8349,20.3180,50.8884,52.5755,51.0023,52.7868,63.00,575.00
380,2.586059,2.517455,0.318115,0.321967,0.000781,514.5,48640,0.9880,7718.8687,7.5299,0.5054,0.4351,0.6104,0.4508,0.3623,0.5832,18.6219,18.6219,66.9842,75.1158,23.0949,20.6139,50.9752,52.7285,50.9951,52.7328,63.00,575.00
390,2.588682,2.501057,0.314819,0.319856,0.000766,527.8,49920,0.9843,7734.5234,7.5416,0.4982,0.4362,0.6176,0.4369,0.3595,0.5920,19.0136,19.0136,66.5394,76.2819,22.7769,19.9822,50.8475,52.5821,50.8225,52.6112,63.00,575.00
400,2.582452,2.498844,0.317749,0.322273,0.000752,539.4,51200,0.9860,7749.0674,7.5556,0.4962,0.4282,0.6183,0.4443,0.3777,0.5887,19.1779,19.1779,67.5335,77.0617,22.6927,20.3300,51.1007,52.8194,50.7918,52.4604,63.00,575.00
410,2.563781,2.471835,0.329224,0.334657,0.000736,555.1,52480,0.9838,7750.9092,7.5517,0.4944,0.4243,0.6198,0.4489,0.3661,0.5981,19.1657,19.1657,66.3864,77.6192,22.6237,20.5476,50.8113,52.3234,50.8376,52.3551,63.00,575.00
420,2.608790,2.516226,0.311890,0.316998,0.000721,567.9,53760,0.9839,7718.8789,7.5264,0.4931,0.4213,0.6163,0.4556,0.3896,0.6053,19.0510,19.0510,75.4453,68.7067,22.5680,20.8585,50.9644,52.2319,50.9338,52.2980,63.00,575.00
