step,model,loss,acc,avg_loss_20,avg_acc_20
133,A_scale1.0,0.679352,0.6875,0.686979,0.5312
133,B_scale0.01,0.685166,0.5625,0.690890,0.5094
134,A_scale1.0,0.663480,0.6875,0.686536,0.5344
134,B_scale0.01,0.690368,0.4375,0.691223,0.5031
135,A_scale1.0,0.681677,0.6250,0.685190,0.5406
135,B_scale0.01,0.684865,0.5625,0.690610,0.5062
136,A_scale1.0,0.664855,0.6875,0.685315,0.5469
136,B_scale0.01,0.694005,0.3750,0.690988,0.4969
137,A_scale1.0,0.667879,0.6875,0.682535,0.5625
137,B_scale0.01,0.683111,0.6250,0.689535,0.5094
138,A_scale1.0,0.664388,0.6875,0.680544,0.5719
138,B_scale0.01,0.677841,0.6250,0.689045,0.5156
139,A_scale1.0,0.696150,0.4375,0.681688,0.5687
139,B_scale0.01,0.701609,0.3750,0.689653,0.5094
140,A_scale1.0,0.687110,0.4375,0.681544,0.5625
140,B_scale0.01,0.702344,0.3750,0.690777,0.5000
141,A_scale1.0,0.661246,0.6875,0.680012,0.5719
141,B_scale0.01,0.675408,0.6250,0.689772,0.5062
142,A_scale1.0,0.650694,0.7500,0.679973,0.5781
142,B_scale0.01,0.683295,0.5625,0.690093,0.5031
143,A_scale1.0,0.679008,0.5625,0.677895,0.5875
143,B_scale0.01,0.687951,0.5000,0.689454,0.5062
144,A_scale1.0,0.669599,0.5625,0.676894,0.5906
144,B_scale0.01,0.691198,0.4375,0.688973,0.5094
145,A_scale1.0,0.723781,0.4375,0.678660,0.5875
145,B_scale0.01,0.720948,0.3125,0.690338,0.5000
146,A_scale1.0,0.686076,0.5000,0.679325,0.5813
146,B_scale0.01,0.686514,0.5000,0.689792,0.5062
147,A_scale1.0,0.690052,0.4375,0.680791,0.5750
147,B_scale0.01,0.688384,0.4375,0.689665,0.5031
148,A_scale1.0,0.673466,0.6875,0.680722,0.5750
148,B_scale0.01,0.687007,0.6250,0.690008,0.5062
149,A_scale1.0,0.623578,0.8125,0.676306,0.5875
149,B_scale0.01,0.671382,0.7500,0.688807,0.5188
150,A_scale1.0,0.665878,0.6875,0.674231,0.6031
150,B_scale0.01,0.680362,0.7500,0.688537,0.5219
151,A_scale1.0,0.644996,0.8125,0.674301,0.6156
151,B_scale0.01,0.680486,0.6250,0.688292,0.5281
152,A_scale1.0,0.693870,0.6250,0.673357,0.6250
152,B_scale0.01,0.699710,0.3750,0.688598,0.5219
153,A_scale1.0,0.695782,0.4375,0.674178,0.6125
153,B_scale0.01,0.694125,0.4375,0.689046,0.5156
154,A_scale1.0,0.630204,0.7500,0.672514,0.6156
154,B_scale0.01,0.661224,0.7500,0.687588,0.5312
155,A_scale1.0,0.692379,0.4375,0.673050,0.6062
155,B_scale0.01,0.700130,0.4375,0.688352,0.5250
156,A_scale1.0,0.659833,0.6875,0.672798,0.6062
156,B_scale0.01,0.688071,0.5000,0.688055,0.5312
157,A_scale1.0,0.712695,0.4375,0.675039,0.5938
157,B_scale0.01,0.731651,0.3125,0.690482,0.5156
158,A_scale1.0,0.647330,0.6875,0.674186,0.5938
158,B_scale0.01,0.678067,0.5625,0.690493,0.5125
159,A_scale1.0,0.653965,0.6875,0.672077,0.6062
159,B_scale0.01,0.692366,0.4375,0.690031,0.5156
160,A_scale1.0,0.671232,0.6250,0.671283,0.6156
160,B_scale0.01,0.676582,0.5625,0.688743,0.5250
161,A_scale1.0,0.694458,0.5625,0.672944,0.6094
161,B_scale0.01,0.690284,0.5625,0.689487,0.5219
162,A_scale1.0,0.690935,0.5000,0.674956,0.5969
162,B_scale0.01,0.669756,0.6875,0.688810,0.5281
163,A_scale1.0,0.681802,0.5625,0.675096,0.5969
163,B_scale0.01,0.701920,0.4375,0.689508,0.5250
164,A_scale1.0,0.672040,0.5625,0.675218,0.5969
164,B_scale0.01,0.699009,0.5000,0.689899,0.5281
165,A_scale1.0,0.593766,0.8750,0.668717,0.6188
165,B_scale0.01,0.682159,0.5625,0.687959,0.5406
166,A_scale1.0,0.589734,0.7500,0.663900,0.6312
166,B_scale0.01,0.687229,0.4375,0.687995,0.5375
167,A_scale1.0,0.688307,0.5000,0.663813,0.6344
167,B_scale0.01,0.696976,0.5000,0.688425,0.5406
168,A_scale1.0,0.684480,0.5000,0.664363,0.6250
168,B_scale0.01,0.701116,0.4375,0.689130,0.5312
169,A_scale1.0,0.638696,0.6875,0.665119,0.6188
169,B_scale0.01,0.689060,0.3750,0.690014,0.5125
170,A_scale1.0,0.626297,0.6250,0.663140,0.6156
170,B_scale0.01,0.699165,0.3750,0.690954,0.4938
171,A_scale1.0,0.805088,0.3750,0.671145,0.5938
171,B_scale0.01,0.694492,0.5000,0.691655,0.4875
172,A_scale1.0,0.634533,0.5000,0.668178,0.5875
172,B_scale0.01,0.687906,0.7500,0.691064,0.5062
173,A_scale1.0,0.690151,0.3750,0.667896,0.5844
173,B_scale0.01,0.683542,0.7500,0.690535,0.5219
174,A_scale1.0,0.607310,0.6875,0.666752,0.5813
174,B_scale0.01,0.678750,0.6250,0.691412,0.5156
175,A_scale1.0,0.659785,0.7500,0.665122,0.5969
175,B_scale0.01,0.685078,0.5000,0.690659,0.5188
176,A_scale1.0,0.684194,0.6250,0.666340,0.5938
176,B_scale0.01,0.698617,0.3750,0.691186,0.5125
177,A_scale1.0,0.699794,0.5000,0.665695,0.5969
177,B_scale0.01,0.692087,0.5000,0.689208,0.5219
178,A_scale1.0,0.616063,0.6250,0.664131,0.5938
178,B_scale0.01,0.656580,0.7500,0.688134,0.5312
179,A_scale1.0,0.681882,0.5625,0.665527,0.5875
179,B_scale0.01,0.693849,0.5000,0.688208,0.5344
180,A_scale1.0,0.693137,0.6250,0.666623,0.5875
180,B_scale0.01,0.703285,0.4375,0.689543,0.5281
181,A_scale1.0,0.683068,0.6250,0.666053,0.5906
181,B_scale0.01,0.736135,0.3125,0.691836,0.5156
182,A_scale1.0,0.691782,0.4375,0.666095,0.5875
182,B_scale0.01,0.680582,0.5625,0.692377,0.5094
183,A_scale1.0,0.685971,0.4375,0.666304,0.5813
183,B_scale0.01,0.696169,0.4375,0.692089,0.5094
184,A_scale1.0,0.632701,0.6250,0.664337,0.5844
184,B_scale0.01,0.664978,0.6250,0.690388,0.5156
185,A_scale1.0,0.708339,0.5000,0.670066,0.5656
185,B_scale0.01,0.687402,0.6250,0.690650,0.5188
186,A_scale1.0,0.692177,0.3750,0.675188,0.5469
